processDefinitionId,processDefinitionKey,processDefinitionName,Duration
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.105
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.054
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.113
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.074
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.087
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.09
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.36
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.089
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.087
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.101
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.112
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.065
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.351
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.068
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.072
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.108
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.073
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.057
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.07
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.061
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.113
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.266
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.068
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.069
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.075
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.115
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.09
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.059
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.082
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.115
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.074
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.219
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.057
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.059
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.192
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.211
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.298
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.069
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.066
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.418
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.094
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.098
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.072
Process_09t18o7:1:cebee96c-88bc-11ec-b16d-0242ac120003,Process_09t18o7,helicopter_vB,0.069
