,Acc_Reward
0,46.190780000000004
1,45.798605
2,46.33304333333333
3,47.139134999999996
4,47.26519
5,48.47179499999999
6,49.21893
7,49.04758375
8,49.238528888888894
9,49.45913900000001
10,49.66603181818182
11,49.95950583333334
12,49.997770769230776
13,50.01506928571429
14,50.078253333333336
15,49.98521
16,50.06093352941177
17,49.75576944444445
18,49.54626842105264
19,49.707038000000004
20,49.73701285714286
21,49.68609863636364
22,49.774544347826094
23,49.819868750000005
24,49.8528424
25,49.91850769230769
26,49.927863333333335
27,49.99732071428571
28,50.119376206896554
29,50.153050666666665
